elapsed_ms,scale,yaw_degrees,alpha,TL_x,TL_y,TR_x,TR_y,BR_x,BR_y,BL_x,BL_y,sample_type
210,0.9280705404581429,4.116434196385416,1,40.72973922430276,21.57305823440788,1820.0025180977182,54.9973904389193,1820.0025180977182,1025.0026095610806,40.72973922430276,1058.4269417655921,"interpolated model, not additional recorded frames"
220,0.933286740155643,3.8127907996307036,1,37.39928995381024,19.885905203467473,1827.066928377798,51.192950893512375,1827.066928377798,1028.8070491064877,37.39928995381024,1060.1140947965325,"interpolated model, not additional recorded frames"
230,0.9378900795879506,3.5432894010371183,1,34.524513966252925,18.422986627504088,1833.3420681027305,47.80419967064256,1833.3420681027305,1032.1958003293576,34.524513966252925,1061.577013372496,"interpolated model, not additional recorded frames"
240,0.9424352822088913,3.2717019277616814,1,31.774111962514553,17.02054705610817,1839.6081053134421,44.41269560533965,1839.6081053134421,1035.5873043946604,31.774111962514553,1062.9794529438918,"interpolated model, not additional recorded frames"
250,0.9470446328001405,2.994783978757781,1,29.04779314991697,15.623239741917587,1846.0022183342476,40.942186491423115,1846.0022183342476,1039.0578135085768,29.04779314991697,1064.3767602580824,"interpolated model, not additional recorded frames"
260,0.951561195834742,2.7223733743692033,1,26.43561470039299,14.276704193307523,1852.3035773081892,37.5121320935844,1852.3035773081892,1042.4878679064157,26.43561470039299,1065.7232958066925,"interpolated model, not additional recorded frames"
270,0.9558234926923622,2.464229894447542,1,24.025450112856902,13.027002012655203,1858.2839596970273,34.24758254103875,1858.2839596970273,1045.7524174589612,24.025450112856902,1066.9729979873448,"interpolated model, not additional recorded frames"
280,0.9596700447526676,2.2301133188443916,1,21.898474657952306,11.91792403823581,1863.7115293437157,31.276959268984683,1863.7115293437157,1048.7230407310153,21.898474657952306,1068.082075961764,"interpolated model, not additional recorded frames"
290,0.9629393733953249,2.029783427411346,1,20.13047272922927,10.991464811305377,1868.3514962103027,28.731488250246457,1868.3514962103027,1051.2685117497535,20.13047272922927,1069.0085351886946,"interpolated model, not additional recorded frames"
300,0.96547,1.873,1,18.793822363312188,10.288515583697631,1871.9671702413061,26.744249065129793,1871.9671702413061,1053.2557509348703,18.793822363312188,1069.7114844163025,"interpolated model, not additional recorded frames"
310,0.967362278433284,1.7534182969496983,1,17.823066146979045,9.77720695894493,1874.6956905639197,25.24264773703669,1874.6956905639197,1054.7573522629632,17.823066146979045,1070.222793041055,"interpolated model, not additional recorded frames"
320,0.9689054914352904,1.6538915728146155,1,17.053755958391662,9.37168337221101,1876.9409295885298,24.0057691632187,1876.9409295885298,1055.9942308367813,17.053755958391662,1070.628316627789,"interpolated model, not additional recorded frames"
330,0.9702215536959707,1.567976598768588,1,16.41080610517463,9.03226536957709,1878.8668474349874,22.94379422075599,1878.8668474349874,1057.056205779244,16.41080610517463,1070.967734630423,"interpolated model, not additional recorded frames"
340,0.9714323799052762,1.4892301459854533,1,15.821262859339754,8.720008736780528,1880.6385906702253,21.965815191839738,1880.6385906702253,1058.0341848081603,15.821262859339754,1071.2799912632195,"interpolated model, not additional recorded frames"
350,0.9726598847531587,1.411208985639048,1,15.21382060941346,8.396533920281172,1882.4222253185922,20.980074788320167,1882.4222253185922,1059.01992521168,15.21382060941346,1071.6034660797188,"interpolated model, not additional recorded frames"
360,0.9740259829295693,1.3274698889032097,1,14.51865788980831,8.023971850232556,1884.384656901944,19.89404300273293,1884.384656901944,1060.1059569972672,14.51865788980831,1071.9760281497674,"interpolated model, not additional recorded frames"
370,0.9756687827177273,1.2312838243588948,1,13.653946373422741,7.557403714741554,1886.7112934126076,18.60450711386443,1886.7112934126076,1061.3954928861356,13.653946373422741,1072.4425962852583,"interpolated model, not additional recorded frames"
380,0.9777885747825592,1.1186357972994854,1,12.458046030802734,6.906051263149038,1889.6253197956016,16.986079086367,1889.6253197956016,1063.013920913633,12.458046030802734,1073.093948736851,"interpolated model, not additional recorded frames"
390,0.9800179552612918,1.0041454639739884,1,11.179453355532132,6.20646774523334,1892.6637078735394,15.29608544808059,1892.6637078735394,1064.7039145519193,11.179453355532132,1073.7935322547667,"interpolated model, not additional recorded frames"
400,0.98185,0.9060000000000001,1,10.168756802066468,5.653122794231308,1895.198664771824,13.884977287809647,1895.198664771824,1066.1150227121902,10.168756802066468,1074.3468772057686,"interpolated model, not additional recorded frames"
410,0.9833010291892557,0.8223214550782557,1,9.420915580895326,5.24418981974793,1897.2584413348936,12.737823333652045,1897.2584413348936,1067.2621766663478,9.420915580895326,1074.755810180252,"interpolated model, not additional recorded frames"
420,0.9847010632042775,0.7405419106900905,1,8.712512595295607,4.856090286039034,1899.257192461663,11.623696457749702,1899.257192461663,1068.3763035422503,8.712512595295607,1075.143909713961,"interpolated model, not additional recorded frames"
430,0.9860137281681116,0.6628135901239995,1,8.061142062608269,4.498561045682095,1901.1423997488346,10.571975159808517,1901.1423997488346,1069.4280248401915,8.061142062608269,1075.501438954318,"interpolated model, not additional recorded frames"
440,0.9872026502038037,0.5912887166684797,1,7.483954330419692,4.181191929358874,1902.861290823496,9.612280736064122,1902.861290823496,1070.3877192639359,7.483954330419692,1075.8188080706411,"interpolated model, not additional recorded frames"
450,0.9882314554343999,0.5281195136120259,1,6.997740921900572,3.9134562290316808,1904.3608896609535,8.774433021224354,1904.3608896609535,1071.2255669787755,6.997740921900572,1076.0865437709683,"interpolated model, not additional recorded frames"
460,0.9890637699829462,0.47545820424313473,1,6.619052662561785,3.704752055702329,1905.5880866972288,8.088387097820714,1905.5880866972288,1071.9116129021793,6.619052662561785,1076.2952479442977,"interpolated model, not additional recorded frames"
470,0.9896685006195188,0.43504915439234887,1,6.36256339162594,3.563478057065936,1906.4981328068384,7.579452213880131,1906.4981328068384,1072.4205477861199,6.36256339162594,1076.4365219429342,"interpolated model, not additional recorded frames"
480,0.990114595175704,0.40176527125809836,1,6.202366480237629,3.4756407686508055,1907.1985607690913,7.187710451618386,1907.1985607690913,1072.8122895483816,6.202366480237629,1076.524359231349,"interpolated model, not additional recorded frames"
490,0.9904661735324395,0.3727857256142133,1,6.099004956148747,3.419332943911968,1907.773550018437,6.866093725344172,1907.773550018437,1073.1339062746558,6.099004956148747,1076.580667056088,"interpolated model, not additional recorded frames"
500,0.9907649854808336,0.34726546825163285,1,6.018795118953449,3.3757158859268657,1908.2697759235857,6.588453683992725,1908.2697759235857,1073.4115463160074,6.018795118953449,1076.6242841140731,"interpolated model, not additional recorded frames"
510,0.9910527808119945,0.3243594499612961,1,5.928185661641692,3.3260046566351775,1908.734007380916,6.3285691839278115,1908.734007380916,1073.6714308160722,5.928185661641692,1076.6739953433648,"interpolated model, not additional recorded frames"
